S No,College_Code,College_Name,College_Type,Region,District,Place,COED,Affliate_Univ,ESTD,Branch,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BC_A_BOYS,BC_A_GIRLS,BC_B_BOYS,BC_B_GIRLS,BC_C_BOYS,BC_C_GIRLS,BC_D_BOYS,BC_D_GIRLS,BC_E_BOYS,BC_E_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,FEE
1243,SRTS,"SRINIVASA INST OF TECHNOLOGY
SCIENCE",PVT,SVU,KDP,KADAPA,COED,JNTUA,2009,ECE,102535,102535,173159,173159,102535,102535,102535,118922,136302,136302,102535,102535,102535,102535,102535,102535,125847,160212,35000
1244,SVCK,"SRI VENKATESWARA COLLEGE OF
ENGINEERING",PVT,SVU,KDP,KADAPA,COED,JNTUA,2016,CSE,110358,110358,172125,172125,115043,115043,113764,120624,144134,149461,125627,125627,133204,143692,110358,110358,150653,99952,35000
1245,SVCK,"SRI VENKATESWARA COLLEGE OF
ENGINEERING",PVT,SVU,KDP,KADAPA,COED,JNTUA,2016,CSM,97079,137014,122770,137014,140040,140040,154370,157000,164250,164250,149484,149484,160931,160931,135338,168500,75032,118400,35000
1246,SVCK,"SRI VENKATESWARA COLLEGE OF
ENGINEERING",PVT,SVU,KDP,KADAPA,COED,JNTUA,2016,ECE,137661,145481,149742,164507,150927,156265,168661,168661,158474,167563,137661,145481,169029,169029,160067,160067,133131,123834,35000
1247,SVIK,"SRI VENKATESWARA INSTT. OF
SCIENCE AND TECHNOLOGY",PVT,SVU,KDP,KADAPA,COED,JNTUA,2007,CSE,134779,134779,171810,171810,142020,142020,154094,154094,156819,156819,134779,134779,152134,157804,166974,166974,145882,134730,35000
1248,SVIK,"SRI VENKATESWARA INSTT. OF
SCIENCE AND TECHNOLOGY",PVT,SVU,KDP,KADAPA,COED,JNTUA,2007,ECE,132516,132516,172039,172039,132516,132516,132516,132516,132516,168526,132516,132516,132516,148526,150738,150738,143817,,35000
1249,SVIK,"SRI VENKATESWARA INSTT. OF
SCIENCE AND TECHNOLOGY",PVT,SVU,KDP,KADAPA,COED,JNTUA,2007,EEE,169131,169131,173540,173540,173554,173554,169163,169163,169169,169169,,169131,169142,169142,169163,169163,,,35000
1250,VITS,"VAAGDEVI INSTITUTE OF
TECHNOLOGY. AND SCI.",PVT,SVU,KDP,PRODDATUR,COED,JNTUA,2002,CSE,136688,160363,170160,170160,151937,160363,168533,168533,168089,168089,136688,160363,157283,160866,136688,160363,152260,143704,35000
1251,VITS,"VAAGDEVI INSTITUTE OF
TECHNOLOGY. AND SCI.",PVT,SVU,KDP,PRODDATUR,COED,JNTUA,2002,ECE,152072,152072,152072,163172,152072,152072,152072,152072,162968,162968,152072,152072,152072,152072,152072,152072,129321,,35000
1252,YGVU,YGVU YSR ENGINEERING COLLEGE,UNIV,SVU,KDP,PRODDATUR,COED,YGVU,2008,CIV,71268,71268,154589,172959,172958,172958,71268,71268,173004,173004,173086,173086,166789,166789,71268,71268,,,10000
1253,YGVU,YGVU YSR ENGINEERING COLLEGE,UNIV,SVU,KDP,PRODDATUR,COED,YGVU,2008,CSE,30350,30350,145254,145254,30350,55499,34890,35587,75476,114976,33722,33722,41702,41702,95827,95827,67450,62271,10000
1254,YGVU,YGVU YSR ENGINEERING COLLEGE,UNIV,SVU,KDP,PRODDATUR,COED,YGVU,2008,ECE,58496,83370,153555,153555,96646,96646,142126,142126,152565,152565,58496,83370,89376,146778,58496,83370,83955,133458,10000
1255,YGVU,YGVU YSR ENGINEERING COLLEGE,UNIV,SVU,KDP,PRODDATUR,COED,YGVU,2008,EEE,63443,63443,166167,169701,157182,157182,63443,63443,63443,63443,63443,63443,158495,158495,63443,63443,87538,166262,10000
1256,YGVU,YGVU YSR ENGINEERING COLLEGE,UNIV,SVU,KDP,PRODDATUR,COED,YGVU,2008,MEC,138172,138172,163141,163141,169176,169176,138172,138172,138172,138172,138172,138172,138172,138172,138172,138172,,,10000
1257,ASKW,"ASHOKA WOMEN'S ENGINEERING
COLLEGE",PVT,SVU,KNL,KURNOOL,GIRLS,JNTUA,2008,CAI,,78990,,173480,,78990,,78990,,107476,,78990,,114268,,109282,,76428,41800
1258,ASKW,"ASHOKA WOMEN'S ENGINEERING
COLLEGE",PVT,SVU,KNL,KURNOOL,GIRLS,JNTUA,2008,CIV,,166974,,166974,,166974,,168661,,166974,,,,166974,,166974,,151254,41800
1259,ASKW,"ASHOKA WOMEN'S ENGINEERING
COLLEGE",PVT,SVU,KNL,KURNOOL,GIRLS,JNTUA,2008,CSE,,60394,,123472,,153089,,71600,,98428,,99429,,89169,,72933,,78215,41800
1260,ASKW,"ASHOKA WOMEN'S ENGINEERING
COLLEGE",PVT,SVU,KNL,KURNOOL,GIRLS,JNTUA,2008,ECE,,66802,,171122,,165992,,93785,,89841,,,,114370,,118486,,81877,41800
1261,ASKW,"ASHOKA WOMEN'S ENGINEERING
COLLEGE",PVT,SVU,KNL,KURNOOL,GIRLS,JNTUA,2008,EEE,,,,172507,,,,122601,,130917,,,,145481,,155113,,150544,41800
1262,ASVR,SVR ENGINEERING COLLEGE,PVT,SVU,KNL,NANDYAL,COED,JNTUA,2006,CAI,116628,116628,170761,170761,129815,129815,135228,135228,142855,165546,138109,138109,157419,165717,133075,156234,117191,96020,38600
1263,ASVR,SVR ENGINEERING COLLEGE,PVT,SVU,KNL,NANDYAL,COED,JNTUA,2006,CIV,59239,103229,59239,126019,59239,172801,59239,103229,59239,103229,59239,103229,59239,103229,59239,103229,,,38600
1264,ASVR,SVR ENGINEERING COLLEGE,PVT,SVU,KNL,NANDYAL,COED,JNTUA,2006,CSE,67937,67937,171916,171916,170735,170735,88013,88013,165372,165372,108066,108066,93785,101680,90700,90700,154857,71912,38600
1265,ASVR,SVR ENGINEERING COLLEGE,PVT,SVU,KNL,NANDYAL,COED,JNTUA,2006,ECE,113672,129192,147575,173363,142053,142053,146728,146728,169084,169084,113672,129192,163030,163030,142753,142753,158495,129441,38600
1266,ASVR,SVR ENGINEERING COLLEGE,PVT,SVU,KNL,NANDYAL,COED,JNTUA,2006,EEE,155629,155629,161848,167718,155629,155629,159441,159441,155629,155629,155629,155629,155629,155629,169163,169163,160861,,38600
1267,BEMA,"BHEEMA INST OF TECHNOLOGY AND
SCI",PVT,SVU,KNL,ADONI,COED,JNTUA,2008,CIV,157510,157510,157510,157510,160277,160277,157510,157510,157510,157510,157510,157510,157510,157510,157510,157510,,,36500
1268,BEMA,"BHEEMA INST OF TECHNOLOGY AND
SCI",PVT,SVU,KNL,ADONI,COED,JNTUA,2008,CSE,153502,153502,173222,173222,153502,156935,165143,165143,159234,159234,153502,153502,166411,166411,166028,166028,146960,105036,36500
1269,BEMA,"BHEEMA INST OF TECHNOLOGY AND
SCI",PVT,SVU,KNL,ADONI,COED,JNTUA,2008,ECE,154491,154491,154491,172141,154491,154491,154491,154491,154491,154491,154491,154491,154491,154491,154491,154491,164477,,36500
1270,BEMA,"BHEEMA INST OF TECHNOLOGY AND
SCI",PVT,SVU,KNL,ADONI,COED,JNTUA,2008,EEE,100327,100327,100327,100327,100327,100327,100327,100327,100327,100327,100327,100327,100327,100327,100327,100327,,,36500
1271,BEMA,"BHEEMA INST OF TECHNOLOGY AND
SCI",PVT,SVU,KNL,ADONI,COED,JNTUA,2008,MEC,155749,155749,155749,155749,155749,155749,155749,155749,155749,155749,155749,155749,155749,155749,155749,155749,,,36500
1272,BRNK,"BRINDAVAN INST OF TECHNOLOGY
AND SCI",PVT,SVU,KNL,KURNOOL,COED,JNTUA,2008,CAD,169131,169131,173540,173540,169131,169131,169163,169163,169169,169169,,169131,169142,169142,169163,169163,,,35000
